tags,industry
 data visualization,0
AI,8
AR,8
HR,2
MacDonalds,6
Public Transportation ,9
VR,4
activity,9
air travel,9
airbnb,9
alzheimer ,7
amazon,9
amazon prime,4
ambulance,7
animal,4
apple,8
articifical intelligence,8
augmented reality,8
bank,5
bicycles,4
bike maps,9
blockchain,8
book,4
booking,9
booking.com,9
books,1
browser,8
burger,6
business,2
calendar,9
car parking,9
chat,0
chatbots,8
classroom,2
comics,4
cooking,6
cost,5
crypto,5
dating app,4
decoration,8
desktop,8
digital currency,5
digital platform,2
digital product,4
disposal,7
email,0
emotions,7
exercise,7
expense,5
expense tracking,8
facebook,4
faces app,4
fintech,5
fintech app,5
flight,9
focus,2
food delivery,6
foursquare,9
gmail,0
google map,9
google maps,9
growth design,5
guitar,4
habit tracker,7
healt tracker,7
healthcare,7
hotel,8
illness,7
insurance,5
internet usage,8
ios,8
iphone,8
language,2
learning,2
learning platform,2
locations,9
login,8
mailchimp,8
maps,9
meditation,7
meetup,0
mental,7
mental health,7
mentalcare,7
message,0
messaging,0
messenger,0
metro,9
mobile,8
mobile app,4
money,5
mood,7
motorbike,6
motorbikes,9
museums,4
music,4
music events,4
navigation,9
netflix,4
newspaper,0
newyork times,0
pandemic,9
party,4
payments,8
pet,4
pets,1
phone number,0
pizza,6
plant,7
plants,8
platform,7
podcasts,4
productivity,7
productivty,2
publication,0
recycle,3
restaurants,6
safety,9
saving life,7
search engine,9
shopping,1
signup,8
slack,0
snapchat,4
social,4
sound,8
soundcloud,4
sports,7
spotify,4
stickers,0
students,2
sustainability,6
television,4
text to speech,8
theatre,4
ticket,9
tiktok,4
time,4
tourism,9
tourists,4
tracker,7
train,9
transfer,5
travellers,9
travelling app,9
tv,4
university app,2
usability test,8
video,7
virtual reality,4
voice user interface,8
vpn,8
waste,3
web page,8
website,1
whatsapp,0
